stream_ratio,OM_type,season,enr,year,added_N,added_P,added_NP,pct_N,pct_P,pct_C,CN,CP,NP,pct_Nse,pct_Pse,pct_Cse,CNse,CPse,NPse
2,Biofilm,Autumn,PRE,PRE,23,2,25.46428571,0.45632849,0.017271401,5.29670899,13.65926345,787.6688167,59.25718308,0.077549934,0.003150462,1.265027684,2.42871313,114.2809366,5.447299838
2,Biofilm,Autumn,PRE,YR1,128.6264335,110.0551571,2.587935738,0.703995241,0.04987995,4.365169531,6.734737045,221.1673746,34.85006701,0.143697705,0.014580349,1.331503644,1.124553461,13.50551341,4.208255174
2,Biofilm,Autumn,TRT,YR2,76.703125,89.72091491,1.893010499,0.622634653,0.048175442,4.600330198,8.542283664,245.9557842,28.46027129,0.118886363,0.008806403,0.943990946,0.539894002,33.66895465,2.253077483
2,Biofilm,Spring,PRE,PRE,19,3,14.02380952,0.476816522,0.03077043,6.996505846,17.07612444,785.9999772,40.2339447,0.024533797,0.009171165,2.485360549,6.282879793,349.7870617,10.12059379
2,Biofilm,Spring,TRT,YR1,88.15105853,76.68578839,2.545342934,1.122390228,0.072111596,6.810212116,7.057445039,241.8169461,34.29013877,0.160919466,0.009429689,1.038907728,0.158829762,5.84205328,0.839733886
2,Biofilm,Spring,TRT,YR2,68.61427205,72.95256193,2.082608182,0.825310182,0.040718686,6.437389357,9.242023551,535.7688775,58.26133475,0.300358099,0.006770253,2.103211227,0.390362558,40.79605235,6.87501992
2,Biofilm,Summer,PRE,PRE,26,3,19.19047619,0.473454528,0.031508708,4.274703367,9.6855737,627.9123029,53.34124507,0.10124933,0.007030448,1.440119764,1.344697682,417.7586994,30.23392068
2,Biofilm,Summer,TRT,YR1,66.88458375,76.09433491,1.946289149,0.556726042,0.02698476,3.629133353,7.54134633,379.0316675,49.56282083,0.06842834,0.00662622,0.54133009,0.412906397,70.34517571,6.715072661
2,Biofilm,Summer,TRT,YR2,93.18908625,81.61325885,2.528354649,0.672399416,0.030860598,3.672317724,6.429114946,306.8425828,47.83343304,0.088934363,0.002667496,0.413621938,0.329651143,18.37487875,2.414386574
2,Biofilm,Winter,PRE,PRE,13,2,14.39285714,0.373878878,0.018953368,4.032576276,9.886809537,487.6970768,42.152462,0.110497612,0.002409728,2.841200592,5.079493081,298.0395232,7.138607193
2,Biofilm,Winter,TRT,YR1,115.1763591,91.10203678,2.799425519,0.59778952,0.042560058,4.249938684,8.246896245,256.3502512,31.05976897,0.051315627,0.003175301,0.450746909,0.202207854,11.1770708,0.841277404
2,Biofilm,Winter,TRT,YR2,83.98816124,77.41240922,2.402376925,0.418451249,0.024015244,4.479333669,11.56051681,347.1890525,39.02970242,0.118650845,0.000408756,1.979413119,2.270213114,26.3611407,12.5679896
2,FBOM,Autumn,PRE,PRE,23,2,25.46428571,0.4975,0.033180036,7.735,18.0075,655.0926675,36.3536647,0.022867371,0.005420215,0.546847023,0.830234656,127.3748043,6.545066246
2,FBOM,Autumn,TRT,YR1,128.6264335,110.0551571,2.587935738,0.44225,0.050336398,8.31825,22.31592626,452.4931111,20.25357137,0.110567758,0.013910913,1.920953512,0.510530924,36.06321625,1.410572029
2,FBOM,Autumn,TRT,YR2,76.703125,89.72091491,1.893010499,0.63575,0.064259146,14.29775,25.97406084,564.0895599,21.6895822,0.097645938,0.008172221,2.500129676,0.767540167,34.25546856,0.999432438
2,FBOM,Spring,PRE,PRE,19,3,14.02380952,0.405,0.03511622,7.47,20.82,530.127845,25.66318993,0.154569294,0.011708894,3.123142114,0.698689249,50.78253715,2.180193343
2,FBOM,Spring,TRT,YR1,88.15105853,76.68578839,2.545342934,0.3525,0.025549501,5.375,14.85752334,449.6751802,32.10837549,0.163114224,0.01190524,3.094340264,2.83318668,68.75105189,4.105848776
2,FBOM,Spring,TRT,YR2,68.61427205,72.95256193,2.082608182,0.5775,0.045665181,8.4975,16.57121338,468.3543742,27.77027317,0.053909647,0.003351654,2.046856838,3.254357931,98.79396028,0.861500823
