stream_ratio,OM_type,season,trtyear,addedNP,rrP,rrN
2,Leaves,Autumn,YR1,2.881224745,0.843494384,0.711132921
8,Leaves,Autumn,YR1,13.69657907,0.641923731,0.525909894
16,Leaves,Autumn,YR1,19.85775902,1.205120167,0.953215861
32,Leaves,Autumn,YR1,48.96901398,1.531598592,1.202820629
128,Leaves,Autumn,YR1,109.7709707,0.861256763,0.879040001
2,Leaves,Winter,YR1,2.543000982,0.386717175,0.395994133
8,Leaves,Winter,YR1,12.19756657,0.31983996,0.300627527
16,Leaves,Winter,YR1,16.83146286,0.784009849,0.87105631
32,Leaves,Winter,YR1,37.17689632,0.474725134,0.455064602
128,Leaves,Winter,YR1,99.05121002,0.561642688,0.657577993
2,Leaves,Spring,YR1,2.138600654,0.239349787,0.147826581
8,Leaves,Spring,YR1,7.179726015,0.420541131,0.274002104
16,Leaves,Spring,YR1,17.04861081,0.177062093,0.115731752
32,Leaves,Spring,YR1,23.43203031,0.218936913,0.169336677
128,Leaves,Spring,YR1,81.9889288,0.330255441,0.345730748
2,Leaves,Summer,YR1,2.279295186,0.621353739,0.635918517
8,Leaves,Summer,YR1,6.305099855,0.681119223,0.612193544
16,Leaves,Summer,YR1,18.11754711,0.723529867,0.947395726
32,Leaves,Summer,YR1,38.84285024,0.696827436,0.708391588
128,Leaves,Summer,YR1,121.6612727,0.324670821,0.352897019
2,Leaves,Autumn,YR2,1.800395473,1.173036868,0.683023397
8,Leaves,Autumn,YR2,9.122895954,1.243641719,0.846767182
16,Leaves,Autumn,YR2,15.41089994,1.715252633,1.177484787
32,Leaves,Autumn,YR2,33.71202704,2.076873569,1.58585055
128,Leaves,Autumn,YR2,107.0309809,1.914701706,1.702641895
2,Leaves,Winter,YR2,3.010323139,0.280151282,0.209021266
8,Leaves,Winter,YR2,8.709841064,0.510393386,0.37128537
16,Leaves,Winter,YR2,16.00265739,0.356035181,0.311745443
32,Leaves,Winter,YR2,28.30760659,0.377007818,0.302224467
128,Leaves,Winter,YR2,102.9139136,0.388987376,0.339516962
2,Leaves,Spring,YR2,2.265447024,0.186363092,0.113884678
8,Leaves,Spring,YR2,10.11799624,0.348538853,0.237154655
16,Leaves,Spring,YR2,15.14967345,0.20957675,0.142833679
32,Leaves,Spring,YR2,29.50074662,0.143595,0.095781109
128,Leaves,Spring,YR2,117.2127324,0.206749616,0.203318227
2,Leaves,Summer,YR2,1.841562036,0.17829981,0.204660005
8,Leaves,Summer,YR2,9.151558408,0.291678643,0.293297728
16,Leaves,Summer,YR2,14.64425871,0.322951385,0.368241962
32,Leaves,Summer,YR2,31.28830323,0.265757773,0.309523772
128,Leaves,Summer,YR2,111.5601933,0.184031032,0.271899416
2,FBOM,Autumn,YR1,2.881224745,0.745342789,0.436742571
8,FBOM,Autumn,YR1,13.69657907,1.340923314,1.157240528
16,FBOM,Autumn,YR1,19.85775902,0.327644526,0.258946383
32,FBOM,Autumn,YR1,48.96901398,0.964004871,0.74908013
128,FBOM,Autumn,YR1,109.7709707,0.9597451,0.986351864
2,FBOM,Winter,YR1,2.543000982,2.665806526,1.99104653
8,FBOM,Winter,YR1,12.19756657,2.599421912,2.305873957
16,FBOM,Winter,YR1,16.83146286,1.661719789,4.145998933
32,FBOM,Winter,YR1,37.17689632,3.8693591,12.22968906
128,FBOM,Winter,YR1,99.05121002,2.487122013,5.226326304
2,FBOM,Spring,YR1,2.138600654,0.415798361,0.497407356
8,FBOM,Spring,YR1,7.179726015,0.519462957,1.491635001
16,FBOM,Spring,YR1,17.04861081,0.742894137,1.547628194
32,FBOM,Spring,YR1,23.43203031,0.455491929,0.951879504
128,FBOM,Spring,YR1,81.9889288,0.607454325,1.196696377
2,FBOM,Summer,YR1,2.279295186,0.997111278,1.014635532
8,FBOM,Summer,YR1,6.305099855,1.067288808,1.380131785
16,FBOM,Summer,YR1,18.11754711,0.945398349,0.96768543
32,FBOM,Summer,YR1,38.84285024,0.192391442,0.275822129
128,FBOM,Summer,YR1,121.6612727,0.585413586,0.857296754
2,FBOM,Autumn,YR2,1.800395473,1.222980829,0.806965243
8,FBOM,Autumn,YR2,9.122895954,0.732389635,0.653880918
16,FBOM,Autumn,YR2,15.41089994,0.402558329,0.340942035
32,FBOM,Autumn,YR2,33.71202704,0.959108934,1.025252597
128,FBOM,Autumn,YR2,107.0309809,0.71831851,0.58216995
2,FBOM,Winter,YR2,3.010323139,3.094826238,2.938691259
8,FBOM,Winter,YR2,8.709841064,2.035366478,1.95341061
16,FBOM,Winter,YR2,16.00265739,2.103199712,3.920210593
32,FBOM,Winter,YR2,28.30760659,1.704080991,4.211029329
128,FBOM,Winter,YR2,102.9139136,1.314600601,2.204921957
2,FBOM,Spring,YR2,2.265447024,1.010681932,1.108240556
8,FBOM,Spring,YR2,10.11799624,1.051746061,2.357739201
16,FBOM,Spring,YR2,15.14967345,2.44082411,4.779336862
32,FBOM,Spring,YR2,29.50074662,0.840075888,1.20913035
128,FBOM,Spring,YR2,117.2127324,1.391056545,2.157352712
2,FBOM,Summer,YR2,1.841562036,1.131999077,1.087938682
8,FBOM,Summer,YR2,9.151558408,0.948522698,1.067289854
16,FBOM,Summer,YR2,14.64425871,0.583621364,0.394514783
32,FBOM,Summer,YR2,31.28830323,0.168734394,0.227912331
128,FBOM,Summer,YR2,111.5601933,0.494479857,0.404727327
2,Biofilm,Autumn,YR1,2.881224745,2.891562261,1.46241485
8,Biofilm,Autumn,YR1,13.69657907,0.770700975,0.774499534
16,Biofilm,Autumn,YR1,19.85775902,1.365226854,1.168056174
32,Biofilm,Autumn,YR1,48.96901398,1.674127031,0.933921963
128,Biofilm,Autumn,YR1,109.7709707,1.886337792,0.971396018
2,Biofilm,Winter,YR1,2.543000982,1.937186244,8.273949855
8,Biofilm,Winter,YR1,12.19756657,3.894780133,2.906941288
16,Biofilm,Winter,YR1,16.83146286,0.679951238,1.56084832
32,Biofilm,Winter,YR1,37.17689632,2.830697158,2.46134993
128,Biofilm,Winter,YR1,99.05121002,0.835659005,6.314975688
2,Biofilm,Spring,YR1,2.138600654,2.94499371,3.168616963
8,Biofilm,Spring,YR1,7.179726015,2.488200534,3.886012896
16,Biofilm,Spring,YR1,17.04861081,4.014313564,4.773418046
32,Biofilm,Spring,YR1,23.43203031,4.455221463,3.423884843
128,Biofilm,Spring,YR1,81.9889288,8.593340039,8.623044929
2,Biofilm,Summer,YR1,2.279295186,2.172070343,1.507162111
8,Biofilm,Summer,YR1,6.305099855,1.180545674,1.691541559
16,Biofilm,Summer,YR1,18.11754711,1.375223668,1.089241247
32,Biofilm,Summer,YR1,38.84285024,0.856695251,0.820740693
128,Biofilm,Summer,YR1,121.6612727,1.415078617,1.677809014
2,Biofilm,Autumn,YR2,1.800395473,2.434137634,0.902367798
8,Biofilm,Autumn,YR2,9.122895954,1.228598073,0.766093967
16,Biofilm,Autumn,YR2,15.41089994,2.176880637,1.570335872
32,Biofilm,Autumn,YR2,33.71202704,1.995939455,1.219206533
128,Biofilm,Autumn,YR2,107.0309809,1.628964912,0.809264998
2,Biofilm,Winter,YR2,3.010323139,2.370439365,2.024178748
8,Biofilm,Winter,YR2,8.709841064,1.732251503,1.185736128
16,Biofilm,Winter,YR2,16.00265739,1.110606548,0.796087
32,Biofilm,Winter,YR2,28.30760659,0.680366955,0.668582973
128,Biofilm,Winter,YR2,102.9139136,0.690108927,0.852606066
2,Biofilm,Spring,YR2,2.265447024,3.195080855,2.363002719
8,Biofilm,Spring,YR2,10.11799624,4.341535062,3.053324552
16,Biofilm,Spring,YR2,15.14967345,6.738792724,6.320447431
32,Biofilm,Spring,YR2,29.50074662,5.833887247,3.116065096
128,Biofilm,Spring,YR2,117.2127324,9.34637474,7.86080546
2,Biofilm,Summer,YR2,1.841562036,1.183124171,0.798643671
8,Biofilm,Summer,YR2,9.151558408,0.68851984,0.87565898
16,Biofilm,Summer,YR2,14.64425871,1.075100508,0.670162951
32,Biofilm,Summer,YR2,31.28830323,0.615075799,0.622555879
128,Biofilm,Summer,YR2,111.5601933,1.166728413,1.17667528
